"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"9","DIST FOREST",2,26385.3989054794,0,1,0.999999777344348,-13190.6991682042,0.999999777344348
"8","URBAN COVER",2,26416.0341838832,30.635278403799,2.22655700643089e-07,2.22655651067539e-07,-13206.0168074061,0.999999999999999
"3","SPEEDf",5,26453.6923833035,68.2934778240888,1.4799931847493e-15,1.47999285522045e-15,-13221.8447687719,1
"2","SPEEDc",2,26563.14749419,177.748588710532,2.52571520342641e-39,2.52571464106165e-39,-13279.5734625595,1
"5","FOREST COVER",2,26651.7256893098,266.32678383038,1.47188439094865e-58,1.47188406322527e-58,-13323.8625601194,1
"12","EFFICIENCY",2,26746.2204886178,360.821583138371,4.45234434849565e-79,4.45234335715601e-79,-13371.1099597734,1
"4","TRAFFIC",2,26751.1957963202,365.796890840793,3.70010803964232e-80,3.70010721579235e-80,-13373.5976136246,1
"7","WATER COVER",2,26772.6455249225,387.246619443049,8.13701319216157e-85,8.13701138040959e-85,-13384.3224779257,1
"10","DIST AG",2,26799.6052346533,414.20632917386,1.13825203439784e-90,1.13825178095959e-90,-13397.8023327912,1
"11","DIST WATER",2,26803.9427762032,418.543870723734,1.30122756618057e-91,1.3012272764549e-91,-13399.9711035661,1
"6","AG COVER",2,26825.2688722491,439.869966769707,3.04403988450036e-96,3.04403920672767e-96,-13410.6341515891,1
"1","INTERCEPT",1,26850.1678083565,464.768902877106,1.19320498781e-101,1.19320472213616e-101,-13424.0838093376,1
"13","DIST URBAN",2,26850.2572077874,464.858302307934,1.14104355000777e-101,1.14104329594797e-101,-13423.1283193582,1
